127.0.0.1 - - [21/Mar/2022:12:51:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:51:16 +0900] "GET /Web/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:51:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:54:49 +0900] "GET /Web/0318_EX.html HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:55:26 +0900] "GET /Web/0318_EX.html HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:57:13 +0900] "GET /Web/HTML/0318_EX.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:57:13 +0900] "GET /Web/images/sheep.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:12:57:13 +0900] "GET /Web/media/sheep.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:13:02:05 +0900] "GET /Web/HTML/0318_images.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:01:12 +0900] "GET /Web/HTML/0321_Form HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:01:20 +0900] "GET /Web/HTML/0321_Form.html HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:01:25 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:03:05 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:06:34 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:06:35 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:08:08 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:08:08 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:08:12 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:08:12 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:08:13 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:08:51 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:09:31 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:09:43 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:09:44 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:09:46 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:09:47 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:09:47 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:14:10:03 +0900] "GET /Web/HTML/0321_form.html HTTP/1.1" 200 935
